,Accessible,Adaptive_Swing,Level,Location,Name,Playground_ID,Prop_ID,lat,lon,Zip,tot_inc_num_returns,tot_inc_amnt,avg_inc_by_zip,est_median_inc
233,Y,N,4.0,"Evergreen Ave & Decatur, Schaefer Sts",Evergreen Playground,B332,B332,40.6861,-73.9107,11207,43530.0,1458749000.0,33511.34849529061,13157.2318647085
234,Y,N,4.0,"Troutman St & Central Ave, Starr St & Wilson Ave",Fermi Playground,B334,B334,40.7001,-73.9283,11221,39520.0,1596673000.0,40401.64473684211,37007.868020304566
235,N,,,Flatlands Ave Bet E 81 & E 82 Sts,Bildersee Playground,B335,B335,40.6355,-73.9116,11236,47920.0,2094980000.0,43718.280467445744,36657.59587020649
236,Y,N,4.0,W Brighton Ave Bet W 2 & W 3 Sts,Century Playground,B337,B337,40.577,-73.97,11224,20240.0,829949000.0,41005.38537549407,11958.596837944664
237,Y,N,4.0,"Newport Ave & Thatford Ave, Osborne St",Newport Playground,B339,B339,40.6609,-73.907,11212,38370.0,1196980000.0,31195.725827469378,13046.153846153846
238,Y,N,4.0,"Flushing Ave & Beaver St, Garden St",Garden Playground,B340,B340,40.7011,-73.9383,11206,36490.0,1483562000.0,40656.67306111263,36777.9
239,Y,N,4.0,"Glenwood Rd, E 100 & E 101 Sts",100% Playground,B342,B342,40.6465,-73.8992,11236,47920.0,2094980000.0,43718.280467445744,36657.59587020649
240,Y,N,4.0,"Linden Blvd & Osborn St, Thatford Ave",Osborn Playground,B343,B343,40.6557,-73.9061,11212,38370.0,1196980000.0,31195.725827469378,13046.153846153846
241,Y,N,4.0,"Wortman Ave, Vermont St, New Jersey Ave",Ethan Allen Playground,B345,B345,40.6557,-73.8869,11207,43530.0,1458749000.0,33511.34849529061,13157.2318647085
242,N,,,Manhattan Ave & Leonard St,Ericsson Playground,B346,B346,40.7202,-73.9481,11222,22570.0,1691879000.0,74961.40894993354,62850.11235955056
243,Y,N,4.0,"Ralph Ave, Sumpter St, Howard Ave, Marion St",Carver Playground,B347,B347,40.6803,-73.9206,11233,31980.0,1279701000.0,40015.6660412758,36787.11063372718
244,Y,N,4.0,"Tompkins, Willoughby, Vernon Aves",Willoughby Playground,B348,B348,40.6944,-73.9467,11206,36490.0,1483562000.0,40656.67306111263,36777.9
245,Y,N,4.0,Bath Ave Bet 24 Ave & Bay 37 St,Bath Playground,B349,B349,40.5946,-73.9936,11214,40860.0,1780414000.0,43573.51933431229,36122.280334728035
246,Y,N,2.0,"Classon Ave, Sterling Pl & Park Pl",Elijah Stroud Playground,B350,B350,40.675,-73.9619,11238,30940.0,2804681000.0,90649.03038138332,62483.82608695652
247,Y,N,4.0,"S/s Foster Ave, E 81 & E 82 Sts",Curtis Park,B352,B352,40.6409,-73.9174,11236,47920.0,2094980000.0,43718.280467445744,36657.59587020649
248,Y,N,4.0,"Ave T, Ave N, E 71 & E 72 Sts",Bergen Beach Playground,B353,B353,40.6224,-73.9096,11234,42560.0,2814947000.0,66140.6719924812,37100.51177072671
