,Accessible,Adaptive_Swing,Level,Location,Name,Playground_ID,Prop_ID,lat,lon,Zip,tot_inc_num_returns,tot_inc_amnt,avg_inc_by_zip,est_median_inc
341,Y,Y,3.0,W 76ST & RIVERSIDE DR,Neufeld Playground,M071-04,M071,40.7834,-73.9849,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
342,Y,Y,3.0,W 83 ST & RIVERSIDE DR,River Run Playground,M071-08,M071,40.787,-73.9822,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
343,Y,Y,3.0,W 91 ST & RIVERSIDE DR,Hippo Playground,M071-13,M071,40.793,-73.9782,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
344,Y,N,4.0,W 97 ST & RIVERSIDE DR,Dinosaur Playground,M071-16,M071,40.797,-73.975,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
345,Y,N,4.0,101ST ST. NEXT TO HENRY HUDSON PARKWAY,101st St. Soccer Field,M071-18,M071,40.8007,-73.9736,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
346,Y,N,4.0,W 109TH ST & RIVERSIDE DR,Riverside Skate Park,M071-21,M071,40.8051,-73.9706,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
347,Y,N,4.0,W 124 ST & RIVERSIDE DR,Claremont,M071-31,M071,40.815,-73.9621,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
348,Y,N,4.0,"W 105-106 ST, RIVERSIDE DR",Tot Lot One Hundred Five,M071-34,M071,40.8018,-73.9709,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
349,Y,N,4.0,"W110-111ST, RIVERSIDE DR",Tot Lot One Hundred And Ten,M071-36,M071,40.8052,-73.9686,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
350,Y,Y,3.0,W 112-113 ST/RIVERSIDE DR,Tot Lot  One Hundred And Twelve,M071-37,M071,40.8062,-73.968,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
351,Y,Y,3.0,W116ST-117ST/RIVERSIDE DR,Tot Lot  One Hundred And Sixteen,M071-38,M071,40.8098,-73.9654,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
352,Y,Y,3.0,"RIVERSIDE PARK, 119TH ST",Riverside Park,M071,M071,40.7967,-73.976,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
353,Y,N,4.0,W 142 ST & RIVERSIDE DR,Riverbank Playground,M072-01,M072,40.8257,-73.9538,10027,27180.0,1687853000.0,62099.08020603385,37013.960546282244
